epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.3964425325393677,0.6643950939178467,1.0977905988693237,0.43066707253456116,0.2571362853050232,0.45456868410110474,0.7269299030303955,1.2437673807144165,0.49978867173194885,0.30022040009498596
1,0.48462924361228943,0.7589268088340759,0.9407704472541809,0.5386701822280884,0.332493394613266,0.5004559755325317,0.7761695981025696,1.119346261024475,0.5536664128303528,0.3531746566295624
2,0.5167397856712341,0.7921133041381836,0.8905754685401917,0.5743799805641174,0.3719375729560852,0.5195806622505188,0.7969970107078552,1.0617237091064453,0.5747378468513489,0.37650740146636963
3,0.5301762819290161,0.8056206703186035,0.8605753183364868,0.5884461402893066,0.3919670879840851,0.5328898429870605,0.8086549639701843,1.028354287147522,0.5930017828941345,0.3942529857158661
4,0.5378851294517517,0.8127807974815369,0.8399093151092529,0.5963598489761353,0.40402671694755554,0.5357187390327454,0.8125020265579224,1.0158897638320923,0.5929021239280701,0.4042404890060425
5,0.5427309274673462,0.8171992897987366,0.8239630460739136,0.6013970375061035,0.4125378131866455,0.5379872918128967,0.8158429861068726,1.004866361618042,0.5944749116897583,0.4103820323944092
6,0.5471132397651672,0.8208863139152527,0.8100817799568176,0.6053942441940308,0.41981473565101624,0.5432319045066833,0.8183018565177917,0.9980390071868896,0.6014336347579956,0.4150783121585846
7,0.5508949756622314,0.8240119814872742,0.7982115149497986,0.6089500188827515,0.42597469687461853,0.5486763715744019,0.8225421905517578,0.9870955944061279,0.6044488549232483,0.42562171816825867
8,0.554465651512146,0.8267703652381897,0.7869465947151184,0.6123901009559631,0.43155398964881897,0.5492683053016663,0.8233221769332886,0.9855997562408447,0.6038780808448792,0.4279623329639435
9,0.5571179986000061,0.8289036154747009,0.77716064453125,0.6144827008247375,0.43590474128723145,0.5481971502304077,0.8233951926231384,0.9836857914924622,0.6038392186164856,0.42735689878463745
10,0.559356153011322,0.830803632736206,0.7673431038856506,0.6166123151779175,0.4402378499507904,0.5524848103523254,0.8260558247566223,0.9757069945335388,0.6086617708206177,0.4319239854812622
11,0.5622650384902954,0.8329900503158569,0.758338451385498,0.619171679019928,0.4447362422943115,0.5559867024421692,0.8288731575012207,0.967974066734314,0.6118767857551575,0.439126193523407
12,0.5648877024650574,0.8349217176437378,0.7499191164970398,0.6213840246200562,0.4490276575088501,0.5566642880439758,0.8302618265151978,0.962717592716217,0.609353244304657,0.4422209858894348
13,0.5667386054992676,0.8365023732185364,0.7421424388885498,0.6224299669265747,0.45253148674964905,0.5572096109390259,0.8310257792472839,0.9607664346694946,0.6110405325889587,0.44349047541618347
14,0.5689861178398132,0.8381471633911133,0.7341546416282654,0.6242684721946716,0.4559860825538635,0.5626375675201416,0.8334944844245911,0.9547196626663208,0.616369366645813,0.4483850598335266
15,0.5714206099510193,0.8400354981422424,0.7260118126869202,0.6264305710792542,0.4598388373851776,0.5632835626602173,0.8343144655227661,0.9520958065986633,0.6178707480430603,0.45079630613327026
16,0.5731862783432007,0.8412973284721375,0.7190433144569397,0.6274809837341309,0.46284499764442444,0.5643712282180786,0.8364503383636475,0.9438192844390869,0.6177334189414978,0.4539572298526764
17,0.5748981833457947,0.8429283499717712,0.7114440202713013,0.6287299394607544,0.4659980237483978,0.5651299357414246,0.8368971943855286,0.9441545605659485,0.6162765026092529,0.45931753516197205
18,0.5770145654678345,0.8445352911949158,0.7049070596694946,0.6303967833518982,0.4701707661151886,0.5658690929412842,0.8373394012451172,0.9436009526252747,0.6176415681838989,0.4588187634944916
19,0.579082190990448,0.8458825349807739,0.6980254054069519,0.6317611932754517,0.47307664155960083,0.5699238777160645,0.8395217061042786,0.937564492225647,0.6205676794052124,0.46443450450897217
20,0.5808016061782837,0.8472861647605896,0.6915697455406189,0.6330669522285461,0.4763355851173401,0.5684365630149841,0.8398287892341614,0.9357337355613708,0.6174368262290955,0.46636199951171875
21,0.582567572593689,0.8486896753311157,0.6853247880935669,0.6342418193817139,0.47975942492485046,0.5686002969741821,0.8396252989768982,0.9361346364021301,0.6188521981239319,0.46504443883895874
22,0.5845780968666077,0.8500698208808899,0.6790662407875061,0.6357590556144714,0.48251694440841675,0.5720872282981873,0.8424297571182251,0.9275704026222229,0.6233367323875427,0.4692104160785675
23,0.5862235426902771,0.8516250252723694,0.6725232005119324,0.6370478272438049,0.4862600266933441,0.5729360580444336,0.8428921103477478,0.927665650844574,0.6205640435218811,0.47505900263786316
